Ref_ID,JV_default_Voc,JV_default_Jsc,JV_default_PCE,JV_default_FF
8057,0.954,20.77,12.27,0.619
8058,1.013,21.98,16.22,0.728
8086,1.053,22.9,18.2,0.755
8087,1.037,22.3,16.9,0.727
8088,1.046,22.9,17.6,0.735
8167,0.8,19.5,8.5,0.596
8168,0.68,19.1,7.0,0.5329999999999999
8169,0.8,15.5,7.5,0.655
8177,1.05,18.16,12.9,0.68
8178,0.85,2.46,2.1,1.01
8179,0.95,11.42,8.39,0.77
8181,1.05,19.34,13.41,0.66
8182,1.05,19.3,13.28,0.66
8199,1.06,19.83,13.03,0.62
8201,0.91,18.31,8.16,0.49
8247,1.02,19.9,13.7,0.675
8254,0.99,19.4,11.8,0.61
8329,0.96,22.47,12.5,0.579
8330,1.07,22.88,14.2,0.58
8647,1.037,18.3,12.8,0.674
8700,1.12,20.94,16.8,0.715
8701,1.12,21.88,18.5,0.7559999999999999
8755,0.948,20.62,14.02,0.7170000000000001
8756,1.02,22.4,16.91,0.74
8757,1.04,19.01,13.84,0.7
8766,0.9,12.1,7.2,0.64
8767,0.93,13.0,8.1,0.67
8768,0.94,14.2,9.0,0.69
8769,0.95,15.0,9.7,0.7
8773,0.94,14.8,9.7,0.7
8774,0.96,15.8,10.6,0.7
8775,0.93,14.5,9.3,0.69
8819,1.09,18.77,14.38,0.7
8831,0.95,20.4,12.55,0.648
8833,0.98,20.9,13.31,0.6509999999999999
8849,1.017,14.75,10.16,0.68
8850,1.023,17.49,13.18,0.73
8851,1.031,20.45,15.66,0.74
8852,1.014,19.04,14.01,0.73
8853,1.048,15.39,11.03,0.68
9062,0.81,3.2,0.7,0.27
9063,0.93,15.2,8.4,0.59
9064,0.8,5.6,2.1,0.47
9065,0.93,15.4,5.2,0.36
9066,0.97,16.5,7.3,0.46
9080,1.06,22.48,15.17,0.64
9090,0.9,14.67,6.29,0.497
9093,1.01,16.36,9.87,0.595
9094,1.01,16.68,10.86,0.648
9097,1.05,20.92,14.32,0.65
9099,1.08,22.47,18.03,0.74
9100,1.08,21.5,16.93,0.73
9101,1.07,21.11,16.42,0.728
9106,1.06,22.67,18.7,0.78
9107,1.08,21.58,17.7,0.76
9108,0.98,22.3,16.2,0.74
9109,1.02,22.5,16.8,0.73
9110,1.06,22.5,17.2,0.72
9111,1.04,22.5,17.3,0.74
9113,1.07,23.7,19.8,0.78
9114,1.09,22.9,19.0,0.76
9138,1.067,22.77,17.83,0.733
9224,1.1,20.7,16.4,0.72
9226,1.07,20.2,15.9,0.74
9295,,,12.4,
9296,,,10.6,
9783,1.08,21.7,18.0,0.77
9785,1.14,22.2,19.5,0.77
9787,1.12,22.2,18.9,0.76
9867,0.88,17.28,10.47,0.49
9916,1.09,23.67,17.7,0.6859999999999999
9918,1.07,23.3,17.4,0.69
9919,1.06,23.72,16.3,0.648
9955,1.111,22.46,18.51,0.742
9956,1.138,21.36,18.08,0.7440000000000001
10212,1.06,21.07,16.66,0.747
10237,1.05,20.82,15.47,0.698
10243,1.09,21.15,16.96,0.738
10248,1.09,21.15,16.96,0.738
10596,0.861,22.2,10.9,0.57
10597,0.84,22.05,9.44,0.51
10598,0.884,22.64,12.83,0.6409999999999999
10599,0.861,22.55,11.82,0.61
10600,1.01,23.65,16.77,0.7020000000000001
10601,1.0,23.38,15.2,0.65
10602,1.0,22.41,14.57,0.65
10603,0.86,21.44,9.59,0.52
10628,0.94,15.9,9.48,0.634
10667,1.1,22.6,18.9,0.76
10923,1.01,22.5,17.16,0.72
11012,1.05,21.2,16.3,0.73
11106,,,13.0,
11140,1.1,20.8,15.8,0.69
11141,1.05,20.5,14.1,0.65
11142,1.08,20.6,13.6,0.65
11143,1.05,20.3,12.0,0.56
11144,0.91,19.5,6.5,0.41
11236,1.05,18.9,13.7,0.69
11258,1.04,21.41,15.39,0.69
11259,1.04,21.26,15.12,0.68
11260,1.04,21.36,14.32,0.63
11269,0.87,11.2,4.01,0.4
11270,0.89,12.7,5.97,0.53
11271,0.94,13.7,7.56,0.59
11273,0.99,15.5,9.97,0.65
11274,1.0,17.6,12.32,0.7
11275,0.94,13.4,6.05,0.48
11312,0.97,20.97,13.66,0.67
11313,0.95,22.49,14.23,0.68
11397,1.092,14.085,11.96,0.78
11399,1.036,19.154,13.27,0.67
11400,1.034,21.284,15.24,0.69
11733,0.94,17.97,12.13,0.71
11736,0.98,17.79,12.62,0.73
11737,0.93,18.0,11.72,0.7
11738,0.9,18.26,11.5,0.7
11739,0.98,17.79,12.62,0.73
11740,0.94,18.52,12.58,0.71
11741,0.93,18.78,11.91,0.68
11765,0.986,20.97,12.0,0.58
11773,1.1,22.42,18.69,0.76
11800,1.04,20.8,12.7,0.586
11801,1.03,21.3,14.4,0.655
11802,1.06,21.3,15.0,0.665
11803,1.09,22.1,16.3,0.674
11804,1.05,21.0,13.7,0.621
11805,1.01,19.5,10.7,0.5429999999999999
11981,0.95,15.83,6.96,0.4629999999999999
11982,0.94,14.4,6.3,0.426
12001,0.99,16.66,7.79,0.4679999999999999
12002,0.98,15.96,6.55,0.417
12032,0.9,17.6,8.29,0.52
12033,0.91,22.58,10.49,0.51
12054,1.03,15.7,11.1,0.688
12055,1.04,15.3,10.9,0.6829999999999999
12056,1.06,14.5,10.9,0.7090000000000001
12454,0.417,8.9,1.02,0.271
12455,0.747,11.43,2.09,0.238
12499,1.101,16.77,12.23,0.6629999999999999
12501,1.044,12.3,9.0,0.701
12639,0.64,10.6,3.9,0.54
12640,0.64,9.1,4.2,0.54
12641,1.03,18.6,9.02,0.47
12818,0.88,21.8,8.1,0.418
12820,1.016,22.35,15.4,0.68
12912,0.98,20.97,14.59,0.71
13148,1.06,16.31,7.41,0.425
13200,0.67,17.56,4.92,0.416
13202,0.7440000000000001,18.5,5.63,0.489
13203,0.698,17.57,5.63,0.449
13205,0.71,14.98,5.43,0.511
13246,1.07,18.94,13.23,0.65
13310,0.94,2.44,1.5,0.63
13312,0.83,12.23,5.2,0.51
13411,1.032,19.8,12.0,0.73
13412,0.987,18.8,13.3,0.71
13456,1.055,19.2,15.99,0.789
13457,1.02,18.8,13.6,0.68
13458,1.016,19.01,13.95,0.722
13460,1.107,20.56,17.56,0.7709999999999999
13461,1.07,19.5,15.7,0.72
13464,1.079,14.52,12.23,0.7809999999999999
13500,1.08,21.1,16.38,0.72
13501,,,15.0,
13506,0.94,21.1,14.4,0.725
13507,0.91,13.8,8.8,0.6990000000000001
13917,1.02,18.603,4.05,0.38
13918,1.0590000000000002,20.304,10.15,0.5539999999999999
13919,1.0659999999999998,21.113000000000003,15.55,0.698
14030,1.03,22.0,17.24,0.7609999999999999
14038,1.03,22.0,17.24,0.7609999999999999
14042,1.03,22.0,17.24,0.7609999999999999
14092,0.92,21.1,14.3,0.74
14102,0.75,22.0,5.3,0.32
14156,0.958,20.6,14.1,0.71
14222,0.96,22.3,14.3,0.67
14298,1.07,18.15,14.6,0.75
14299,1.09,21.5,18.5,0.79
14842,1.06,20.94,16.08,0.73
14981,0.957,26.71,11.47,0.4429999999999999
15048,0.986,19.22,11.83,0.687
15049,1.009,19.2,13.37,0.6890000000000001
15050,0.984,18.9,12.33,0.6629999999999999
15051,0.933,19.12,13.12,0.691
15052,0.991,19.19,13.08,0.688
15094,1.07,19.75,15.84,0.75
15096,1.07,20.15,15.85,0.73
15097,0.82,10.1,3.9,0.471
15098,1.02,20.2,15.2,0.742
15105,1.018,21.2,14.2,0.66
15107,1.023,20.2,14.2,0.69
15108,1.0,19.2,12.5,0.652
15110,,,16.0,
15112,,,,
15179,1.03,22.1,14.71,0.647
15180,1.05,22.81,15.59,0.6509999999999999
15182,1.05,22.31,14.44,0.618
15183,1.04,19.94,12.24,0.59
15184,1.07,20.6,13.97,0.63
15185,1.07,21.42,14.87,0.65
15186,1.07,20.62,13.66,0.62
15187,1.07,20.17,13.13,0.61
15189,1.01,21.51,13.05,0.6
15190,1.04,20.78,13.22,0.61
15191,1.06,21.26,14.95,0.66
15194,1.01,21.46,12.98,0.6
15195,1.03,21.98,14.56,0.64
15196,1.06,22.04,15.55,0.66
15614,,,,
15832,0.85,12.0,6.4,0.63
15833,0.87,12.1,6.5,0.61
15834,0.76,15.2,6.9,0.61
15835,0.7,11.4,5.0,0.62
15836,0.71,9.6,4.1,0.61
15837,0.71,8.1,3.5,0.61
15838,,,7.6,
15839,,,6.4,
15841,,,3.8,
15843,0.8,14.8,6.2,0.56
15844,0.75,13.3,4.6,0.53
15845,0.72,9.7,2.9,0.47
15846,0.76,9.7,3.9,0.6
15847,,,11.4,
15848,,,7.8,
15849,,,8.1,
15850,,,5.5,
15851,,,4.3,
16106,1.02,22.6,17.3,0.75
16107,1.02,20.0,15.3,0.75
16109,0.99,20.9,14.28,0.693
16140,1.03,22.1,15.77,0.69
16141,1.03,24.05,18.01,0.73
16142,1.02,23.18,16.18,0.69
16143,1.02,24.06,17.26,0.7
16144,1.02,24.06,17.26,0.7
16145,1.03,24.05,18.08,0.73
16147,1.02,23.65,17.35,0.72
16148,1.03,24.04,18.06,0.73
16346,1.01,22.5,13.7,0.6
16355,1.0,16.5,9.0,0.55
16356,1.0,16.5,9.0,0.55
16357,0.95,17.0,9.0,0.55
16358,0.65,16.0,5.0,0.5
16360,0.2,0.0,0.0,0.25
16382,1.08,22.45,17.46,0.72
16383,1.09,22.62,18.52,0.75
16384,1.09,23.57,20.12,0.782
16399,1.01,19.19,13.95,0.72
16400,1.04,19.33,14.07,0.7
16401,1.03,19.81,14.28,0.7
16402,1.08,19.37,14.64,0.7
16403,1.03,16.35,10.95,0.65
16487,0.95,17.5,8.5,0.51
16540,1.05,21.45,16.17,0.71
16541,1.071,21.79,17.1,0.73
16551,1.0,17.35,12.1,0.75
16629,0.898,20.7,11.6,0.63
16630,0.912,20.9,12.3,0.64
16650,0.97,18.3,9.3,0.524
16654,1.02,20.88,14.01,0.65
16755,1.04,20.2,14.1,0.66
16756,1.03,17.2,10.7,0.6
16761,0.96,19.12,12.13,0.66
16762,0.93,16.86,10.24,0.65
16763,0.81,13.04,5.98,0.57
16778,,,12.6,
16779,,,14.7,
16861,1.08,20.43,15.51,0.7
16893,1.08,21.79,17.61,0.74
17144,0.94,16.3,10.2,0.67
17145,0.94,16.2,9.7,0.64
17146,0.9,14.8,8.2,0.61
17147,0.87,13.3,6.5,0.56
17255,1.006,20.8,13.4,0.638
17258,1.026,21.4,15.0,0.684
17259,0.998,10.4,12.7,0.625
17716,1.04,17.64,13.54,0.74
17768,1.0,18.4,11.3,0.56
17769,0.94,9.8,5.1,0.56
17770,0.88,13.3,5.2,0.44
17869,0.69,15.25,5.12,0.366
17870,0.82,16.26,7.53,0.522
17871,0.88,19.77,8.8,0.501
17872,0.96,20.33,13.41,0.701
17873,0.98,20.3,13.95,0.701
17874,0.97,20.91,14.2,0.701
17875,1.08,22.33,17.15,0.742
17886,0.94,22.96,11.85,0.537
17888,1.04,21.06,17.69,0.746
17889,1.06,22.07,18.74,0.76
17890,1.08,23.17,17.06,0.685
18010,1.05,10.75,6.37,0.562
18012,1.09,16.98,9.86,0.535
18013,1.1,18.0,13.8,0.7
18064,0.74,14.48,6.15,0.57
18065,0.82,15.78,6.08,0.47
18066,1.0,22.27,16.3,0.72
18068,1.02,21.22,15.37,0.71
18069,0.98,20.91,14.14,0.69
18113,0.924,19.8,12.1,0.6629999999999999
18131,1.11,21.38,18.33,0.77
18133,0.89,16.3,10.4,0.72
18134,0.91,17.57,10.68,0.67
18136,0.89,18.73,10.23,0.61
18166,0.89,16.1,5.7,0.36
18171,1.0,21.1,14.8,0.7
18172,1.0,20.9,14.2,0.68
18173,1.04,21.7,16.8,0.75
18174,1.0,21.3,15.7,0.73
18175,0.825,12.5,2.68,0.26
18177,0.895,20.1,10.3,0.57
18191,0.97,18.0,11.1,0.64
18233,1.02,18.24,14.3,0.75
18235,0.99,19.29,14.4,0.74
18358,0.64,7.13,1.8,0.64
18360,0.925,12.78,7.16,0.61
18361,0.69,8.4,2.1,0.37
18364,0.82,9.3,3.4,0.44
18365,0.83,9.9,4.0,0.48
18366,0.82,8.5,3.2,0.44
18367,0.81,6.8,2.3,0.41
18368,0.8370000000000001,9.94,3.98,0.481
18456,0.71,13.2,4.2,0.45
18457,0.97,17.9,12.2,0.7
18458,0.72,7.7,2.3,0.44
18459,0.89,13.1,7.8,0.59
18548,1.05,17.8,18.1,0.69
18591,0.99,22.13,15.6,0.7120000000000001
18593,1.03,21.8,16.7,0.742
18897,0.855,17.0,7.3,0.5
18972,0.98,20.66,13.42,0.6629999999999999
18973,0.985,21.68,14.46,0.677
18974,0.994,21.91,15.7,0.721
18975,0.99,21.75,15.37,0.7140000000000001
19092,1.0,15.29,9.2,0.6
19093,1.085,15.56,10.8,0.64
19094,1.064,15.7,10.8,0.64
19198,1.0,17.9,10.8,0.62
19202,1.03,15.75,10.2,0.629
19244,1.061,20.96,15.6,0.7040000000000001
19291,1.09,21.29,17.2,0.741
19342,0.97,13.1,6.7,0.38
19344,1.09,14.4,10.9,0.65
19346,0.98,14.4,8.1,0.4
19348,1.07,17.3,13.6,0.66
19349,1.09,18.0,14.4,0.69
19455,1.07,13.0,10.9,0.784
19456,1.08,20.8,17.1,0.763
19467,1.06,20.97,15.56,0.7
19468,1.1,21.16,18.16,0.78
19551,1.022,21.66,15.55,0.7020000000000001
19552,1.03,21.3,15.2,0.69
19592,0.92,20.76,11.29,0.591
19594,1.01,21.11,13.69,0.642
19595,1.04,22.12,16.3,0.7090000000000001
19616,1.03,21.4,16.5,0.748
19617,1.03,24.5,19.2,0.759
19820,1.03,19.28,13.9,0.7
19827,0.65,8.7,1.9,0.34
19829,0.94,10.5,4.3,0.44
19830,0.72,9.1,2.4,0.37
19831,0.96,10.8,4.4,0.43
19832,0.86,9.8,3.8,0.45
19833,0.84,13.8,5.7,0.49
19834,0.89,12.8,5.3,0.47
19835,1.0,18.4,11.3,0.56
19837,0.9,18.0,7.1,0.44
19839,0.89,11.9,4.8,0.46
19841,0.86,12.1,4.9,0.47
19843,1.0,19.1,12.2,0.63
19844,0.96,19.3,7.7,0.41
19858,0.985,14.54,8.62,0.602
19861,0.885,14.56,7.01,0.547
19914,0.75,18.3,8.12,0.58
19915,0.64,17.7,6.57,0.58
19916,0.92,18.44,11.15,0.63
19917,0.97,19.53,11.7,0.6
19918,0.82,18.34,7.94,0.52
19919,0.83,18.46,7.57,0.48
19920,0.97,22.1,14.3,0.5760000000000001
19921,0.985,22.33,14.64,0.652
19928,0.95,20.36,11.89,0.601
19929,1.0,21.56,13.45,0.622
20127,1.001,19.03,13.64,0.72
20129,1.011,19.54,13.1,0.66
20131,1.02,19.32,12.79,0.65
20132,0.969,18.79,11.28,0.62
20133,1.0,18.84,12.37,0.65
20134,1.013,18.96,13.35,0.7
20137,0.997,18.81,11.37,0.61
20347,1.06,23.6,18.5,0.74
20348,1.06,23.6,18.2,0.728
20371,0.94,16.9,4.9,0.3
20448,1.02,20.4,13.5,0.66
20449,1.06,21.2,15.3,0.68
20456,1.074,19.63,13.8,0.67
20459,1.092,21.68,17.5,0.685
20460,1.098,22.26,17.9,0.715
20461,1.06,21.62,17.04,0.68
20462,1.056,20.4,16.51,0.6459999999999999
20464,1.074,19.63,14.02,0.67
20466,1.088,20.56,15.27,0.685
20467,1.092,21.68,16.11,0.685
20468,1.098,22.26,17.4,0.715
20469,1.06,21.62,15.55,0.68
20470,1.056,20.4,13.86,0.6459999999999999
20471,1.039,19.71,12.34,0.609
20473,1.074,20.72,16.15,0.634
20474,1.079,20.62,15.38,0.674
20475,1.078,20.15,15.8,0.6729999999999999
20477,1.075,20.33,16.37,0.685
20478,1.078,20.44,15.96,0.6709999999999999
20479,1.074,20.34,15.32,0.6779999999999999
20480,1.079,20.16,15.82,0.687
20481,1.078,20.41,15.72,0.684
20482,1.074,20.08,15.1,0.674
20483,1.072,19.83,15.25,0.688
20485,1.078,19.9,15.69,0.6829999999999999
20506,1.03,19.4,14.6,0.74
20507,0.95,19.4,12.1,0.65
20508,1.02,18.7,13.5,0.7
20511,1.03,19.6,14.7,0.72
20512,1.06,20.2,15.4,0.71
20513,1.03,18.2,13.0,0.69
20514,1.04,17.9,13.4,0.71
20515,1.04,17.4,12.8,0.7
20516,1.04,18.5,13.5,0.7
20726,1.105,22.03,18.57,0.763
20730,1.105,20.73,17.55,0.7659999999999999
20787,0.95,19.2,11.8,0.65
20797,0.92,18.3,10.6,0.63
20820,1.0,23.66,17.34,0.7909999999999999
20822,0.99,23.81,17.85,0.757
20828,0.95,19.2,11.7,0.64
20830,0.913,18.7,9.9,0.58
20831,0.71,14.7,5.6,0.54
20850,0.973,19.7,12.9,0.6709999999999999
20870,1.093,23.75,19.69,0.773
20873,1.093,23.17,19.1,0.755
20874,1.092,22.78,18.39,0.7390000000000001
20889,0.965,19.33,12.73,0.682
20890,1.065,20.45,16.59,0.762
20891,1.03,20.9,15.63,0.726
20910,1.0,23.18,16.13,0.73
20911,0.97,21.6,12.98,0.62
20935,1.03,23.5,15.8,0.655
21027,0.914,21.77,12.27,0.62
21029,1.01,21.8,16.06,0.73
21060,1.04,18.68,13.83,0.713
21157,1.05,18.9,14.72,0.74
21167,1.1,22.91,17.02,0.6759999999999999
21168,1.08,20.18,13.78,0.633
21191,1.02,21.96,15.2,0.76
21192,0.88,17.6,8.3,0.54
21193,0.89,18.4,10.0,0.61
21214,1.01,22.1,14.55,0.66
21316,1.084,21.03,17.17,0.753
21319,1.101,21.32,18.2,0.775
21320,1.098,21.88,18.33,0.763
21321,1.094,21.75,18.26,0.767
21322,1.098,20.96,17.89,0.777
21345,1.04,23.54,17.94,0.727
21347,1.1,18.44,14.51,0.715
21348,1.08,20.56,15.78,0.711
21349,1.05,22.65,17.34,0.7290000000000001
21351,1.09,18.33,14.42,0.7240000000000001
21388,0.82,17.2,7.0,5.0
21389,0.92,19.1,10.8,0.62
21396,0.79,10.77,4.06,0.5
21397,0.8,14.96,4.78,0.44
21399,0.82,16.67,5.51,0.44
21400,0.81,18.81,7.89,0.48
21401,0.7,14.33,4.23,0.42
21521,0.96,17.5,11.1,0.629
21524,0.97,16.5,11.2,0.644
21525,1.03,17.6,13.5,0.742
21526,0.95,17.0,11.5,0.6829999999999999
21541,1.06,20.14,15.23,0.71
